22/05/2018 05:27:36 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | D:\IT\C#\Project\WebMvc\WebMvc.Web\Themes\Gland\Views\Shared\_HostView.cshtml(6): error CS0117: 'AppHelpers' does not contain a definition for 'HostViewTopics'
22/05/2018 05:28:00 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:24:32 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:24:33 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:24:47 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:29:49 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:29:54 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:33:08 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:33:45 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:33:49 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:38:30 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:38:31 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | An error occurred when trying to create a controller of type 'WebMvc.Web.Controllers.HomeController'. Make sure that the controller has a parameterless public constructor. INNER EXCEPTION: No parameterless constructor defined for this object.
22/05/2018 06:39:36 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | An error occurred when trying to create a controller of type 'WebMvc.Web.Controllers.HomeController'. Make sure that the controller has a parameterless public constructor. INNER EXCEPTION: No parameterless constructor defined for this object.
22/05/2018 06:40:14 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | An error occurred when trying to create a controller of type 'WebMvc.Web.Controllers.HomeController'. Make sure that the controller has a parameterless public constructor. INNER EXCEPTION: No parameterless constructor defined for this object.
22/05/2018 06:40:28 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:40:32 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:43:06 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:43:21 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:43:21 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | An error occurred when trying to create a controller of type 'WebMvc.Web.Controllers.HomeController'. Make sure that the controller has a parameterless public constructor. INNER EXCEPTION: No parameterless constructor defined for this object.
22/05/2018 06:50:06 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:50:10 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:50:51 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:53:01 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 06:58:08 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 06:58:09 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | An error occurred when trying to create a controller of type 'WebMvc.Web.Controllers.HomeController'. Make sure that the controller has a parameterless public constructor. INNER EXCEPTION: No parameterless constructor defined for this object.
22/05/2018 07:00:12 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 07:00:17 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | Object reference not set to an instance of an object.
22/05/2018 07:01:12 | WebMvc.Web.dll | Application_Start | WebMvc.Web.WebApiApplication | 32 | START APP
22/05/2018 07:01:13 | WebMvc.Web.dll | Application_Error | WebMvc.Web.WebApiApplication | 53 | An error occurred when trying to create a controller of type 'WebMvc.Web.Controllers.HomeController'. Make sure that the controller has a parameterless public constructor. INNER EXCEPTION: No parameterless constructor defined for this object.
